csv,epc,type,rssi
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251876,count,5.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251876,mean,-66.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251876,std,0.7905694150420949
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251876,min,-67.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251876,25%,-67.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251876,50%,-66.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251876,75%,-66.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251876,max,-65.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251877,count,14.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251877,mean,-58.464285714285715
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251877,std,2.568030416443742
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251877,min,-64.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251877,25%,-59.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251877,50%,-58.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251877,75%,-57.625
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249018591604251877,max,-54.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249722621700351874,count,32.0
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249722621700351874,mean,-58.046875
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249722621700351874,std,2.29431054722258
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249722621700351874,min,-64.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249722621700351874,25%,-58.5
20180208173016012-7111.07111-11889-11890-11891-11897_3223-4268-4439.csv,0x107010249722621700351874,50%,-57.75
