csv,epc,type,rssi
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911904,50%,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911904,75%,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911904,max,-69.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911907,count,2.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911907,mean,-67.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911907,std,0.7071067811865476
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911907,min,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911907,25%,-67.25
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911907,50%,-67.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911907,75%,-66.75
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305353911907,max,-66.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071900,count,22.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071900,mean,-59.77272727272727
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071900,std,0.9602488854864253
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071900,min,-62.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071900,25%,-60.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071900,50%,-60.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071900,75%,-59.125
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071900,max,-58.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071903,count,1.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071903,mean,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071903,std,
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071903,min,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071903,25%,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071903,50%,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071903,75%,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107010549013305354071903,max,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x107050145821872601572314,count,2.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107050145821872601572314,mean,-67.75
20180125133948418-9784062938204_3095-3264-3435.csv,0x107050145821872601572314,std,0.3535533905932738
20180125133948418-9784062938204_3095-3264-3435.csv,0x107050145821872601572314,min,-68.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x107050145821872601572314,25%,-67.875
20180125133948418-9784062938204_3095-3264-3435.csv,0x107050145821872601572314,50%,-67.75
20180125133948418-9784062938204_3095-3264-3435.csv,0x107050145821872601572314,75%,-67.625
20180125133948418-9784062938204_3095-3264-3435.csv,0x107050145821872601572314,max,-67.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249013603152393240,count,3.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249013603152393240,mean,-64.66666666666667
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249013603152393240,std,3.214550253664318
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249013603152393240,min,-67.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249013603152393240,25%,-66.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249013603152393240,50%,-66.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249013603152393240,75%,-63.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249013603152393240,max,-61.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249015513382523248,count,22.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249015513382523248,mean,-60.18181818181818
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249015513382523248,std,2.2495790852081776
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249015513382523248,min,-68.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249015513382523248,25%,-60.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249015513382523248,50%,-59.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249015513382523248,75%,-59.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249015513382523248,max,-58.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249016254210713247,count,1.0
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249016254210713247,mean,-68.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249016254210713247,std,
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249016254210713247,min,-68.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249016254210713247,25%,-68.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249016254210713247,50%,-68.5
20180125133948418-9784062938204_3095-3264-3435.csv,0x108010249016254210713247,75%,-68.5
